Function	Hardware Event Count:INST_RETIRED.ANY	Hardware Event Count:CPU_CLK_UNHALTED.THREAD	Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:LD_HEAD.ANY_AT_RET	Hardware Event Count:LD_HEAD.L1_BOUND_AT_RET	Hardware Event Count:LD_HEAD.L1_MISS_AT_RET	Hardware Event Count:MEM_BOUND_STALLS.LOAD	Hardware Event Count:MEM_BOUND_STALLS.LOAD_DRAM_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_L2_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_LLC_HIT	Hardware Event Count:MEM_SCHEDULER_BLOCK.ALL	Hardware Event Count:MEM_SCHEDULER_BLOCK.ST_BUF	Hardware Event Count:TOPDOWN_BE_BOUND.ALL	Hardware Event Count:TOPDOWN_BE_BOUND.MEM_SCHEDULER	Hardware Event Count:TOPDOWN_FE_BOUND.ALL	Hardware Event Count:TOPDOWN_RETIRING.ALL	Hardware Event Count:TOPDOWN.SLOTS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L1D_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L2_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L3_MISS	Hardware Event Count:MEM_LOAD_RETIRED.L1_HIT	Hardware Event Count:CPU_CLK_UNHALTED.DISTRIBUTED	Hardware Event Count:EXE_ACTIVITY.BOUND_ON_LOADS	Hardware Event Count:FRONTEND_RETIRED.LATENCY_GE_4	Hardware Event Count:MEM_LOAD_RETIRED.L2_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_MISS	Hardware Event Count:MEM_INST_RETIRED.ALL_STORES	Hardware Event Count:IDQ_BUBBLES.CORE	Hardware Event Count:INT_MISC.UOP_DROPPING	Hardware Event Count:TOPDOWN.BACKEND_BOUND_SLOTS	Hardware Event Count:TOPDOWN.MEMORY_BOUND_SLOTS	Hardware Event Count:MEM_INST_RETIRED.ALL_LOADS	Hardware Event Count:UOPS_RETIRED.SLOTS	Hardware Event Count:TOPDOWN.SLOTS_P	Hardware Event Count:FP_ARITH_INST_RETIRED.SCALAR_SINGLE	Hardware Event Count:FP_ARITH_INST_RETIRED.128B_PACKED_SINGLE	Hardware Event Count:FP_ARITH_INST_RETIRED.256B_PACKED_SINGLE	Hardware Event Count:FP_ARITH_INST_RETIRED.SCALAR_DOUBLE	Hardware Event Count:FP_ARITH_INST_RETIRED.128B_PACKED_DOUBLE	Hardware Event Count:FP_ARITH_INST_RETIRED.256B_PACKED_DOUBLE	Hardware Event Count:UOPS_EXECUTED.X87	Hardware Event Count:UOPS_EXECUTED.THREAD	Module	Function (Full)	Source File	Start Address
[Loop at line 651 in FilterHandler::applyConvolutionGridDivision._omp_fn.0]	120706800000	22253000000	6358000000	22541364429	0	0	0	0	0	0	0	0	0	0	0	0	0	50340015102	15179198	7607510	3785844	52183317807	22346568867	151791770	0	757178	0	0	0	6652292479	45555505	22656059918	227687394	23080635567	97693505579	131335260454	10549563838	0	0	0	0	0	0	105707215460	mean	[Loop at line 651 in FilterHandler::applyConvolutionGridDivision._omp_fn.0]	FilterHandler.cpp	0x405c60
[Loop at line 650 in FilterHandler::applyConvolutionGridDivision._omp_fn.0]	5766400000	1553800000	421600000	1532953585	0	0	0	0	0	0	0	0	0	0	0	0	0	3500001050	0	0	0	2568282222	1522773702	0	0	0	0	0	368117352	520003953	0	1896499400	0	418217130	6466293579	8729270540	60680885	0	0	0	0	0	0	7058962119	mean	[Loop at line 650 in FilterHandler::applyConvolutionGridDivision._omp_fn.0]	FilterHandler.cpp	0x405c40
[Loop@0xa670 in func@0xa520]	2295000000	1115200000	731000000	1052463103	0	0	0	0	0	0	0	0	0	0	0	0	0	6870002061	3785844	7571688	0	283938300	1094105805	204435279	378609	757178	0	0	143865720	257437392	11357532	2915092488	719308536	291138786	2021637759	6814501920	0	0	0	0	0	0	0	1961064343	libdeflate.so.0	[Loop@0xa670 in func@0xa520]	[Unknown]	0xa670
[Outside any known module]	1122000000	887400000	319600000	681701691	0	0	0	0	0	0	0	180027	120018	3000009	0	3000009	0	2580000774	49233883	53019727	60573504	193095955	643957032	121182655	1898421	3796636	0	0	124230771	1193669253	3785844	2764375552	1628267012	260131689	1674558599	6402716996	0	0	0	0	0	0	0	954497001	[Unknown]	[Outside any known module]	[Unknown]	0x0
[Loop@0x4df0 in func@0x4db0]	584800000	244800000	0	136290186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121147008	205949328	7571677	0	0	0	0	48460032	68145192	3785844	37858344	0	122285862	537589067	1817200512	0	0	0	0	0	0	0	620877514	libz.so.1.3	[Loop@0x4df0 in func@0x4db0]	[Unknown]	0x4df0
[Loop@0xb870 in deflate]	547400000	367200000	0	363440496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	249865704	360411324	37858385	0	0	0	0	150680412	435372060	18929220	265008408	37858344	307418328	583019129	1703625480	0	0	0	0	0	0	0	1317471798	libz.so.1.3	[Loop@0xb870 in deflate]	[Unknown]	0xb870
[Loop at line 390 in do_lookup_x]	421600000	231200000	129200000	242293664	0	0	0	0	0	0	0	60009	0	0	0	0	0	1250000375	3785844	7571688	7571688	102217788	193077495	22715031	0	43916324	0	0	24230016	90860256	0	416441784	37858344	154466352	378583850	946458600	0	0	0	0	0	0	0	454300620	ld-linux-x86-64.so.2	[Loop at line 390 in do_lookup_x]	dl-lookup.c	0xa590
[Loop@0x264e0 in func@0x26460]	394400000	51000000	34000000	121146832	0	0	0	0	0	0	0	0	0	0	0	0	0	360000108	3785844	0	0	132504540	64359165	0	0	5300246	0	0	23094234	11357532	0	37858344	0	138943998	355868819	227150064	0	0	0	0	0	0	0	348297142	libtiff.so.6.0.1	[Loop@0x264e0 in func@0x26460]	[Unknown]	0x264e0
[Loop@0x4d3e0 in func@0x4d370]	343400000	166600000	108800000	106003478	0	0	0	0	0	0	0	0	0	0	0	0	0	1010000303	0	0	0	136290384	244564827	15143354	0	0	0	0	69661296	75716880	0	265008408	0	126071802	484587328	757166880	0	0	0	0	0	0	0	507302359	libtiff.so.6.0.1	[Loop@0x4d3e0 in func@0x4d370]	[Unknown]	0x4d3e0
[Loop@0x3b600 in func@0x39a20]	306000000	88400000	51000000	75716770	0	0	0	0	0	0	0	0	0	0	0	0	0	420000126	0	0	0	79502724	12871833	0	0	0	0	0	24608610	3785844	0	113575032	0	72311454	340725465	605733504	0	0	0	0	0	0	0	333153788	libopencv_imgcodecs.so.4.6.0	[Loop@0x3b600 in func@0x39a20]	[Unknown]	0x3b600
[Loop at line 647 in FilterHandler::applyConvolutionGridDivision._omp_fn.0]	251600000	51000000	13600000	37965854	0	0	0	0	0	0	0	0	0	0	0	0	0	80000024	0	0	0	239027591	64480959	0	0	0	0	0	22383612	15161287	0	0	0	42488496	242616071	152149816	0	0	0	0	0	0	0	235295155	mean	[Loop at line 647 in FilterHandler::applyConvolutionGridDivision._omp_fn.0]	FilterHandler.cpp	0x405c30
[Loop@0x8258 in func@0x7ff0]	224400000	34000000	0	45430062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3785844	0	0	0	0	0	0	3407346	7571688	0	37858344	0	3407346	196863602	189291720	0	0	0	0	0	0	0	128718509	libz.so.1.3	[Loop@0x8258 in func@0x7ff0]	[Unknown]	0x8258
[Loop@0x8140 in func@0x7ff0]	214200000	30600000	0	15143354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25743666	0	0	0	0	0	7950474	7571688	0	37858344	0	7571880	151433540	189291720	0	0	0	0	0	0	0	174148571	libz.so.1.3	[Loop@0x8140 in func@0x7ff0]	[Unknown]	0x8140
[Loop@0x283e8 in png_write_row]	119000000	20400000	0	15143354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34072596	38615499	0	0	0	0	0	28015956	7571688	0	0	0	50353002	151433540	227150064	0	0	0	0	0	0	0	151433540	libpng16.so.16.43.0	[Loop@0x283e8 in png_write_row]	[Unknown]	0x283e8
std::vector<std::vector<float, std::allocator<float>>, std::allocator<std::vector<float, std::allocator<float>>>>::operator[]	112200000	13600000	0	7571677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60573504	38615499	0	0	0	0	0	0	0	0	0	0	12115008	7571677	0	0	0	0	0	0	0	0	159005217	mean	std::vector<std::vector<float, std::allocator<float>>, std::allocator<std::vector<float, std::allocator<float>>>>::operator[](unsigned long) const	stl_vector.h	0x40815b
func@0x4d370	78200000	13600000	20400000	37858385	0	0	0	0	0	0	0	0	0	0	0	0	0	110000033	0	0	0	34072596	0	0	0	0	0	0	0	3785844	0	189291720	0	37102212	37858385	227150064	0	0	0	0	0	0	0	75716770	libtiff.so.6.0.1	func@0x4d370	[Unknown]	0x4d370
[Loop@0x36430 in func@0x36390]	71400000	17000000	6800000	30286708	0	0	0	0	0	0	0	0	0	0	0	0	0	110000033	0	0	0	0	12871833	0	0	0	0	0	1135782	0	0	0	0	0	60573416	151433376	0	0	0	0	0	0	0	60573416	libtiff.so.6.0.1	[Loop@0x36430 in func@0x36390]	[Unknown]	0x36430
std::vector<float, std::allocator<float>>::push_back	71400000	13600000	0	22715031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12871833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121146832	mean	std::vector<float, std::allocator<float>>::push_back(float const&)	stl_vector.h	0x40276f
[Loop@0x6c20 in adler32_z]	57800000	13600000	0	7571677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34072596	25743666	0	0	0	0	0	3785940	0	0	75716688	0	26122986	45430062	151433376	0	0	0	0	0	0	0	37858385	libz.so.1.3	[Loop@0x6c20 in adler32_z]	[Unknown]	0x6c20
[Loop at line 396 in FilterHandler::saveImage]	51000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12871833	0	0	0	0	0	0	7571688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	mean	[Loop at line 396 in FilterHandler::saveImage(Tensor<float> const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>> const&)]	FilterHandler.cpp	0x408140
[Loop@0x9410 in func@0x9240]	37400000	17000000	17000000	15143354	0	0	0	0	0	0	0	0	0	0	0	0	0	140000042	0	0	0	0	12871833	0	0	0	0	0	2271564	3785844	0	37858344	37858344	4543128	98431801	189291720	0	0	0	0	0	0	0	22715031	libdeflate.so.0	[Loop@0x9410 in func@0x9240]	[Unknown]	0x9410
[Loop@0xb570 in func@0xb4c0]	37400000	10200000	10200000	7571677	0	0	0	0	0	0	0	0	0	0	0	0	0	80000024	0	0	0	11357532	25743666	0	0	0	0	0	0	0	0	75716688	0	6057504	15143354	75716688	0	0	0	0	0	0	0	60573416	libdeflate.so.0	[Loop@0xb570 in func@0xb4c0]	[Unknown]	0xb570
_ZSt12construct_atIfJRKfEQaant20is_unbounded_array_vIT_ErqXgsnwcvPvLi0E_S2_pispcl7declvalIT0_EEEEEPS2_S5_DpOS4_	37400000	37400000	0	37858385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11357532	3785844	7571688	68145192	38615499	0	0	0	0	0	32180490	0	0	75716688	37858344	11357820	0	0	0	0	0	0	0	0	0	181720248	mean	_ZSt12construct_atIfJRKfEQaant20is_unbounded_array_vIT_ErqXgsnwcvPvLi0E_S2_pispcl7declvalIT0_EEEEEPS2_S5_DpOS4_	stl_construct.h	0x408140
[Loop@0x74d8 in crc32_z]	34000000	0	0	7571677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3785844	0	0	0	757178	0	0	0	0	0	0	0	7193286	15143354	75716688	0	0	0	0	0	0	0	45430062	libz.so.1.3	[Loop@0x74d8 in crc32_z]	[Unknown]	0x74d8
[Loop at line 77 in _dl_new_hash]	27200000	0	3400000	22715031	0	0	0	0	0	0	0	0	0	0	0	0	0	30000009	0	0	3785844	7571688	12871833	0	0	0	0	0	0	0	0	0	0	3028752	0	37858344	0	0	0	0	0	0	0	15143354	ld-linux-x86-64.so.2	[Loop at line 77 in _dl_new_hash]	dl-new-hash.h	0xb120
[Loop@0x267f48 in func@0x267ee0]	27200000	27200000	0	68145093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3785844	0	38615499	45430062	0	757178	0	568113	3028752	3785844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libopencv_core.so.4.6.0	[Loop@0x267f48 in func@0x267ee0]	[Unknown]	0x267f48
[Loop@0xab90 in func@0xa520]	23800000	3400000	6800000	7571677	0	0	0	0	0	0	0	0	0	0	0	0	0	30000009	0	0	0	0	0	0	0	0	0	0	1514376	34072596	3785844	0	0	2271564	22715031	113575032	0	0	0	0	0	0	0	60573416	libdeflate.so.0	[Loop@0xab90 in func@0xa520]	[Unknown]	0xab90
strcmp	23800000	17000000	20400000	15143354	0	0	0	0	0	0	0	0	0	0	0	0	0	170000051	3785844	0	3785844	18929220	25743666	0	0	0	0	0	0	7571688	0	0	0	1514376	22715031	75716688	0	0	0	0	0	0	0	151433540	ld-linux-x86-64.so.2	strcmp	strcmp-sse2.S	0x274e0
[Loop@0x9360 in func@0x9240]	20400000	3400000	0	15143354	0	0	0	0	0	0	0	0	0	0	0	0	0	60000018	0	0	0	0	12871833	15143354	0	0	0	0	6057504	7571688	0	37858344	0	5678910	7571677	37858344	0	0	0	0	0	0	0	0	libdeflate.so.0	[Loop@0x9360 in func@0x9240]	[Unknown]	0x9360
_dl_name_match_p	20400000	0	0	7571677	0	0	0	0	0	0	0	0	0	0	0	0	0	10000003	3785844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15143354	ld-linux-x86-64.so.2	_dl_name_match_p	dl-misc.c	0xc380
resolve_map	20400000	10200000	3400000	15143354	0	0	0	0	0	0	0	0	0	0	0	0	0	30000009	0	7571688	0	0	0	0	0	0	0	0	0	0	0	0	37858344	2650158	0	75716688	0	0	0	0	0	0	0	7571677	ld-linux-x86-64.so.2	resolve_map	dl-reloc.c	0xf957
[Loop at line 327 in FilterHandler::loadImage]	17000000	30600000	17000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170000051	3785844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68145093	mean	[Loop at line 327 in FilterHandler::loadImage(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>> const&)]	FilterHandler.cpp	0x40b480
[Loop at line 429 in do_lookup_x]	13600000	27200000	3400000	7571677	0	0	0	0	0	0	0	0	0	0	0	0	0	200000060	3785844	3785844	7571688	3785844	51487332	22715031	0	0	0	0	378594	15143376	0	37858344	37858344	1135782	7571677	151433376	0	0	0	0	0	0	0	83288447	ld-linux-x86-64.so.2	[Loop at line 429 in do_lookup_x]	dl-lookup.c	0xa870
[Loop@0x92b0 in func@0x9240]	13600000	20400000	6800000	7571677	0	0	0	0	0	0	0	0	0	0	0	0	0	110000033	0	0	0	7571688	0	0	0	0	0	0	1135782	0	0	75716688	37858344	6436098	7571677	75716688	0	0	0	0	0	0	0	22715031	libdeflate.so.0	[Loop@0x92b0 in func@0x9240]	[Unknown]	0x92b0
[Loop@0xb9e0 in deflate]	13600000	20400000	0	30286708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7571688	0	0	0	0	0	0	0	68145192	0	75716688	0	5300316	30286708	113575032	0	0	0	0	0	0	0	45430062	libz.so.1.3	[Loop@0xb9e0 in deflate]	[Unknown]	0xb9e0
