Function	Hardware Event Count:INST_RETIRED.ANY	Hardware Event Count:CPU_CLK_UNHALTED.THREAD	Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:MEM_UOPS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:MEM_UOPS_RETIRED.ALL_LOADS	Hardware Event Count:MEM_UOPS_RETIRED.ALL_STORES	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.DRAM_HIT	Hardware Event Count:CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:LD_HEAD.ANY_AT_RET	Hardware Event Count:LD_HEAD.DTLB_MISS_AT_RET	Hardware Event Count:LD_HEAD.L1_BOUND_AT_RET	Hardware Event Count:LD_HEAD.L1_MISS_AT_RET	Hardware Event Count:LD_HEAD.OTHER_AT_RET	Hardware Event Count:LD_HEAD.PGWALK_AT_RET	Hardware Event Count:LD_HEAD.ST_ADDR_AT_RET	Hardware Event Count:MEM_BOUND_STALLS.LOAD	Hardware Event Count:MEM_BOUND_STALLS.LOAD_DRAM_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_L2_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_LLC_HIT	Hardware Event Count:MEM_SCHEDULER_BLOCK.ALL	Hardware Event Count:MEM_SCHEDULER_BLOCK.ST_BUF	Hardware Event Count:TOPDOWN_BE_BOUND.ALL	Hardware Event Count:TOPDOWN_BE_BOUND.MEM_SCHEDULER	Hardware Event Count:TOPDOWN_FE_BOUND.ALL	Hardware Event Count:TOPDOWN_RETIRING.ALL	Hardware Event Count:OCR.DEMAND_RFO.L3_HIT.SNOOP_HITM	Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.SNOOP_HIT_WITH_FWD	Hardware Event Count:OCR.STREAMING_WR.ANY_RESPONSE	Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.SNOOP_HITM	Hardware Event Count:TOPDOWN.SLOTS	Hardware Event Count:MEM_INST_RETIRED.ALL_LOADS	Hardware Event Count:MEM_INST_RETIRED.ALL_STORES	Hardware Event Count:DTLB_LOAD_MISSES.STLB_HIT:cmask=1	Hardware Event Count:DTLB_LOAD_MISSES.WALK_ACTIVE	Hardware Event Count:MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:CPU_CLK_UNHALTED.DISTRIBUTED	Hardware Event Count:CYCLE_ACTIVITY.CYCLES_MEM_ANY	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_1G	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_2M_4M	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_4K	Hardware Event Count:DTLB_STORE_MISSES.STLB_HIT:cmask=1	Hardware Event Count:EXE_ACTIVITY.BOUND_ON_LOADS	Hardware Event Count:EXE_ACTIVITY.BOUND_ON_STORES	Hardware Event Count:FRONTEND_RETIRED.LATENCY_GE_4	Hardware Event Count:IDQ_BUBBLES.CORE	Hardware Event Count:DTLB_STORE_MISSES.WALK_ACTIVE	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_1G	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_2M_4M	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_4K	Hardware Event Count:INT_MISC.UOP_DROPPING	Hardware Event Count:TOPDOWN.BACKEND_BOUND_SLOTS	Hardware Event Count:TOPDOWN.MEMORY_BOUND_SLOTS	Hardware Event Count:UOPS_RETIRED.SLOTS	Hardware Event Count:L1D_PEND_MISS.FB_FULL	Hardware Event Count:L1D_PEND_MISS.L2_STALLS	Hardware Event Count:L1D_PEND_MISS.PENDING	Hardware Event Count:L2_RQSTS.ALL_RFO	Hardware Event Count:TOPDOWN.SLOTS_P	Hardware Event Count:L2_RQSTS.RFO_HIT	Hardware Event Count:LD_BLOCKS.NO_SR	Hardware Event Count:LD_BLOCKS.STORE_FORWARD	Hardware Event Count:MEMORY_ACTIVITY.CYCLES_L1D_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L1D_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L2_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L3_MISS	Hardware Event Count:MEM_INST_RETIRED.LOCK_LOADS	Hardware Event Count:MEM_INST_RETIRED.SPLIT_LOADS	Hardware Event Count:MEM_INST_RETIRED.SPLIT_STORES	Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_LOADS	Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_STORES	Hardware Event Count:MEM_LOAD_COMPLETED.L1_MISS_ANY	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_FWD	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_NO_FWD	Hardware Event Count:MEM_LOAD_RETIRED.FB_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L1_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L1_MISS	Hardware Event Count:MEM_LOAD_RETIRED.L2_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_MISS	Hardware Event Count:MEM_STORE_RETIRED.L2_HIT	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=4	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_RFO	Hardware Event Count:XQ.FULL_CYCLES	Hardware Event Count:Total_Latency_INST_RETIRED.ANY	Hardware Event Count:Total_Latency_MEM_UOPS_RETIRED.ALL_STORES	Hardware Event Count:Total_Latency_MEM_UOPS_RETIRED.ALL_LOADS	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.THREAD	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:Total_Latency_MEM_UOPS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:Total_Latency_LD_HEAD.ANY_AT_RET	Module	Function (Full)	Source File	Start Address
std::vector<float, std::allocator<float>>::push_back	108800000	17000000	0	0	3653755	2609825	0	52195025	0	0	0	0	0	0	0	1043914	0	0	0	0	0	26097550	0	5219510	140926770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1023400000	257328745	15136985	0	0	41756020	0	0	gaussian	std::vector<float, std::allocator<float>>::push_back(float const&)	stl_vector.h	0x40276f
adler32_z	85000000	30600000	6800000	521980	27142180	6263580	0	10439005	0	0	0	0	0	0	0	0	0	0	0	0	0	26097550	0	0	88731670	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27200000	33405760	101783175	0	0	0	2087920	0	libz.so.1.3	adler32_z	[Unknown]	0x6ba0
std::vector<std::vector<float, std::allocator<float>>, std::allocator<std::vector<float, std::allocator<float>>>>::operator[]	81600000	6800000	0	782970	60547940	521965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20878040	0	0	172243830	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	462400000	54284360	1229227575	0	0	0	3131880	0	gaussian	std::vector<std::vector<float, std::allocator<float>>, std::allocator<std::vector<float, std::allocator<float>>>>::operator[](unsigned long) const	stl_vector.h	0x40815b
func@0x9240	78200000	57800000	54400000	782970	16180915	14615020	0	31317015	0	0	0	0	0	0	0	0	0	0	0	11902170	0	130487750	78292650	10439020	83512160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102000000	38103445	63157765	27200000	98600000	0	3131880	0	libdeflate.so.0	func@0x9240	[Unknown]	0x9240
func@0x36390	74800000	30600000	17000000	0	0	3131790	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5219510	0	0	67853630	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27200000	34971655	0	13600000	0	0	0	0	libtiff.so.6.0.1	func@0x36390	[Unknown]	0x36390
_ZSt12construct_atIfJRKfEQaant20is_unbounded_array_vIT_ErqXgsnwcvPvLi0E_S2_pispcl7declvalIT0_EEEEEPS2_S5_DpOS4_	54400000	47600000	0	1043960	29752005	29752005	0	52195025	10439020	0	0	0	0	0	0	0	0	1043914	0	0	0	83512160	0	5219510	62634120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13600000	284470925	516223385	248200000	0	83512040	44368300	0	gaussian	_ZSt12construct_atIfJRKfEQaant20is_unbounded_array_vIT_ErqXgsnwcvPvLi0E_S2_pispcl7declvalIT0_EEEEEPS2_S5_DpOS4_	stl_construct.h	0x408140
strcmp	54400000	27200000	34000000	0	15136985	2087860	0	10439005	10439020	0	0	0	0	0	0	7307398	0	3131742	0	1252860	0	36536570	0	26097550	36536570	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	323000000	141452515	152935745	13600000	0	146146070	0	0	ld-linux-x86-64.so.2	strcmp	strcmp-sse2.S	0x274e0
FilterHandler::saveImage	44200000	13600000	0	0	5741615	3131790	0	20878010	0	0	0	0	0	0	0	0	1043914	0	0	0	0	20878040	0	0	93951180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13600000	26098250	20878600	0	0	0	0	0	gaussian	FilterHandler::saveImage(Tensor<float> const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>> const&)	FilterHandler.cpp	0x4026a0
func@0xb4c0	37400000	10200000	17000000	0	6263580	0	0	41756020	0	0	0	0	0	0	0	2087828	0	0	0	0	0	31317060	0	0	104390200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53762395	0	0	0	0	0	libdeflate.so.0	func@0xb4c0	[Unknown]	0xb4c0
func@0x267ee0	27200000	54400000	0	260990	4697685	2087860	0	104390050	52195100	0	0	52195100	0	0	0	69942238	55327442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76728855	734404755	700400000	0	2714141300	81950860	0	libopencv_core.so.4.6.0	func@0x267ee0	[Unknown]	0x267ee0
crc32_z	23800000	3400000	0	521980	8873405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	208810	0	5219510	0	0	15658530	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49064710	0	0	0	6524750	0	libz.so.1.3	crc32_z	[Unknown]	0x7440
