Function	Hardware Event Count:INST_RETIRED.ANY	Hardware Event Count:CPU_CLK_UNHALTED.THREAD	Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:LD_HEAD.ANY_AT_RET	Hardware Event Count:LD_HEAD.L1_BOUND_AT_RET	Hardware Event Count:LD_HEAD.L1_MISS_AT_RET	Hardware Event Count:MEM_BOUND_STALLS.LOAD	Hardware Event Count:MEM_BOUND_STALLS.LOAD_DRAM_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_L2_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_LLC_HIT	Hardware Event Count:MEM_SCHEDULER_BLOCK.ALL	Hardware Event Count:MEM_SCHEDULER_BLOCK.ST_BUF	Hardware Event Count:TOPDOWN_BE_BOUND.ALL	Hardware Event Count:TOPDOWN_BE_BOUND.MEM_SCHEDULER	Hardware Event Count:TOPDOWN_FE_BOUND.ALL	Hardware Event Count:TOPDOWN_RETIRING.ALL	Hardware Event Count:TOPDOWN.SLOTS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L1D_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L2_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L3_MISS	Hardware Event Count:MEM_LOAD_RETIRED.L1_HIT	Hardware Event Count:CPU_CLK_UNHALTED.DISTRIBUTED	Hardware Event Count:EXE_ACTIVITY.BOUND_ON_LOADS	Hardware Event Count:FRONTEND_RETIRED.LATENCY_GE_4	Hardware Event Count:MEM_LOAD_RETIRED.L2_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_MISS	Hardware Event Count:MEM_INST_RETIRED.ALL_STORES	Hardware Event Count:IDQ_BUBBLES.CORE	Hardware Event Count:INT_MISC.UOP_DROPPING	Hardware Event Count:TOPDOWN.BACKEND_BOUND_SLOTS	Hardware Event Count:TOPDOWN.MEMORY_BOUND_SLOTS	Hardware Event Count:MEM_INST_RETIRED.ALL_LOADS	Hardware Event Count:UOPS_RETIRED.SLOTS	Hardware Event Count:TOPDOWN.SLOTS_P	Hardware Event Count:FP_ARITH_INST_RETIRED.SCALAR_SINGLE	Hardware Event Count:FP_ARITH_INST_RETIRED.128B_PACKED_SINGLE	Hardware Event Count:FP_ARITH_INST_RETIRED.256B_PACKED_SINGLE	Hardware Event Count:FP_ARITH_INST_RETIRED.SCALAR_DOUBLE	Hardware Event Count:FP_ARITH_INST_RETIRED.128B_PACKED_DOUBLE	Hardware Event Count:FP_ARITH_INST_RETIRED.256B_PACKED_DOUBLE	Hardware Event Count:UOPS_EXECUTED.X87	Hardware Event Count:UOPS_EXECUTED.THREAD	Module	Function (Full)	Source File	Start Address
[Loop at line 651 in FilterHandler::applyConvolutionGridDivision._omp_fn.0]	283464800000	52574200000	21525400000	52731477251	0	0	0	0	0	0	0	0	0	0	0	0	0	152110045633	15191381	3836517	0	124898247952	52657369498	137464870	0	2277869	0	0	0	13935935955	41940313	58109447129	228519303	57778522202	232018099210	310416315396	23930719648	0	0	0	0	0	0	252207410649	mean	[Loop at line 651 in FilterHandler::applyConvolutionGridDivision._omp_fn.0]	FilterHandler.cpp	0x405c60
[Loop at line 650 in FilterHandler::applyConvolutionGridDivision._omp_fn.0]	8908000000	2186200000	914600000	2212949073	0	0	0	0	0	0	0	0	0	0	0	0	0	6470001941	0	0	0	3179974183	2193700050	0	0	0	0	0	561991483	865152272	0	2898150165	0	653414957	10162920161	13274210530	1144074874	0	0	0	0	0	0	10835612037	mean	[Loop at line 650 in FilterHandler::applyConvolutionGridDivision._omp_fn.0]	FilterHandler.cpp	0x405c40
[Loop@0xa670 in func@0xa520]	2257600000	1111800000	703800000	1012592592	0	0	0	0	0	0	0	0	0	0	0	0	0	6760002028	7671168	0	3835584	295339968	1186726086	184107744	383584	767126	0	0	151892928	264655296	15342336	2723257327	882181951	297648768	2040527496	7057455608	0	0	0	0	0	0	0	2055869808	libdeflate.so.0	[Loop@0xa670 in func@0xa520]	[Unknown]	0xa670
[Outside any known module]	1288600000	1200200000	520200000	987592631	0	0	0	0	0	0	0	0	0	0	0	0	0	4720001416	107192888	91846151	57539358	306250874	936929967	267904436	3439221	4600200	0	0	174550292	1930545618	15236675	2483874532	1187712676	201917251	2002726422	8601843756	0	0	0	0	0	0	0	1210722072	[Unknown]	[Outside any known module]	[Unknown]	0x0
[Loop@0xb870 in deflate]	588200000	380800000	0	368215488	0	0	0	0	0	0	0	0	0	0	0	0	0	2350000705	0	0	0	245477376	326023650	15342312	0	0	0	0	144221568	448763328	15342336	498624581	0	264278352	490953984	2147921272	0	0	0	0	0	0	0	1096975308	libz.so.1.3	[Loop@0xb870 in deflate]	[Unknown]	0xb870
[Loop@0x4df0 in func@0x4db0]	499800000	176800000	0	176436588	0	0	0	0	0	0	0	0	0	0	0	0	0	1000000300	0	0	0	115067520	195614190	23013468	0	0	0	0	41041776	103560768	7671168	115067211	0	114303264	552323232	1380806532	0	0	0	0	0	0	0	606021324	libz.so.1.3	[Loop@0x4df0 in func@0x4db0]	[Unknown]	0x4df0
[Loop at line 390 in do_lookup_x]	445400000	204000000	122400000	245476992	0	0	0	0	0	0	0	0	0	0	0	0	0	1160000348	15342336	3835584	0	118903104	234737028	23013468	0	42959056	0	0	23014080	111231936	0	460268844	0	166852080	360544332	1112316373	0	0	0	0	0	0	0	559994388	ld-linux-x86-64.so.2	[Loop at line 390 in do_lookup_x]	dl-lookup.c	0xa590
[Loop@0x264e0 in func@0x26460]	404600000	71400000	40800000	84382716	0	0	0	0	0	0	0	0	0	0	0	0	0	390000117	0	0	0	138081024	65204730	0	0	5369882	0	0	24931920	19177920	0	0	0	140002320	421913580	383557370	0	0	0	0	0	0	0	375886644	libtiff.so.6.0.1	[Loop@0x264e0 in func@0x26460]	[Unknown]	0x264e0
[Loop@0x3b600 in func@0x39a20]	346800000	74800000	64600000	69040404	0	0	0	0	0	0	0	0	0	0	0	0	0	520000156	0	0	0	57533760	13040946	0	0	0	0	0	24164784	7671168	0	115067211	0	69809376	306846240	345201633	0	0	0	0	0	0	0	322188552	libopencv_imgcodecs.so.4.6.0	[Loop@0x3b600 in func@0x39a20]	[Unknown]	0x3b600
[Loop@0x4d3e0 in func@0x4d370]	340000000	197200000	91800000	176436588	0	0	0	0	0	0	0	0	0	0	0	0	0	980000294	0	0	0	130409856	91286622	30684624	0	0	0	0	73261488	49862592	0	345201633	0	132330960	421913580	997249162	0	0	0	0	0	0	0	506296296	libtiff.so.6.0.1	[Loop@0x4d3e0 in func@0x4d370]	[Unknown]	0x4d3e0
[Loop at line 647 in FilterHandler::applyConvolutionGridDivision._omp_fn.0]	268600000	30600000	13600000	60996796	0	0	0	0	0	0	0	0	0	0	0	0	0	230000069	0	0	0	175439946	25683183	0	383584	0	0	0	24787233	19119303	0	76676205	0	44956089	251466398	419652453	60946060	0	0	0	0	0	0	205697669	mean	[Loop at line 647 in FilterHandler::applyConvolutionGridDivision._omp_fn.0]	FilterHandler.cpp	0x405c30
[Loop@0x8258 in func@0x7ff0]	170000000	17000000	0	23013468	0	0	0	0	0	0	0	0	0	0	0	0	0	200000060	0	0	0	3835584	65204730	0	0	0	0	0	6520656	23013504	0	0	0	7287792	168765432	153422948	0	0	0	0	0	0	0	153423120	libz.so.1.3	[Loop@0x8258 in func@0x7ff0]	[Unknown]	0x8258
[Loop@0x283e8 in png_write_row]	159800000	17000000	0	15342312	0	0	0	0	0	0	0	0	0	0	0	0	0	110000033	0	0	0	26849088	26081892	0	0	0	0	0	32219712	7671168	0	38355737	0	63288720	153423120	115067211	0	0	0	0	0	0	0	161094276	libpng16.so.16.43.0	[Loop@0x283e8 in png_write_row]	[Unknown]	0x283e8
[Loop@0x8140 in func@0x7ff0]	159800000	37400000	0	46026936	0	0	0	0	0	0	0	0	0	0	0	0	0	220000066	0	0	0	0	26081892	0	0	0	0	0	5369952	11506752	0	38355737	0	5753520	184107744	153422948	0	0	0	0	0	0	0	153423120	libz.so.1.3	[Loop@0x8140 in func@0x7ff0]	[Unknown]	0x8140
std::vector<float, std::allocator<float>>::push_back	91800000	13600000	0	15342312	0	0	0	0	0	0	0	0	0	0	0	0	0	50000015	0	0	0	0	0	0	0	0	0	0	0	3835584	0	0	0	0	0	0	0	0	0	0	0	0	0	107396184	mean	std::vector<float, std::allocator<float>>::push_back(float const&)	stl_vector.h	0x40276f
