Function	Hardware Event Count:INST_RETIRED.ANY	Hardware Event Count:CPU_CLK_UNHALTED.THREAD	Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:LD_HEAD.ANY_AT_RET	Hardware Event Count:LD_HEAD.L1_BOUND_AT_RET	Hardware Event Count:LD_HEAD.L1_MISS_AT_RET	Hardware Event Count:MEM_BOUND_STALLS.LOAD	Hardware Event Count:MEM_BOUND_STALLS.LOAD_DRAM_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_L2_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_LLC_HIT	Hardware Event Count:MEM_SCHEDULER_BLOCK.ALL	Hardware Event Count:MEM_SCHEDULER_BLOCK.ST_BUF	Hardware Event Count:TOPDOWN_BE_BOUND.ALL	Hardware Event Count:TOPDOWN_BE_BOUND.MEM_SCHEDULER	Hardware Event Count:TOPDOWN_FE_BOUND.ALL	Hardware Event Count:TOPDOWN_RETIRING.ALL	Hardware Event Count:TOPDOWN.SLOTS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L1D_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L2_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L3_MISS	Hardware Event Count:MEM_LOAD_RETIRED.L1_HIT	Hardware Event Count:CPU_CLK_UNHALTED.DISTRIBUTED	Hardware Event Count:EXE_ACTIVITY.BOUND_ON_LOADS	Hardware Event Count:FRONTEND_RETIRED.LATENCY_GE_4	Hardware Event Count:MEM_LOAD_RETIRED.L2_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_MISS	Hardware Event Count:MEM_INST_RETIRED.ALL_STORES	Hardware Event Count:IDQ_BUBBLES.CORE	Hardware Event Count:INT_MISC.UOP_DROPPING	Hardware Event Count:TOPDOWN.BACKEND_BOUND_SLOTS	Hardware Event Count:TOPDOWN.MEMORY_BOUND_SLOTS	Hardware Event Count:MEM_INST_RETIRED.ALL_LOADS	Hardware Event Count:UOPS_RETIRED.SLOTS	Hardware Event Count:TOPDOWN.SLOTS_P	Hardware Event Count:FP_ARITH_INST_RETIRED.SCALAR_SINGLE	Hardware Event Count:FP_ARITH_INST_RETIRED.128B_PACKED_SINGLE	Hardware Event Count:FP_ARITH_INST_RETIRED.256B_PACKED_SINGLE	Hardware Event Count:FP_ARITH_INST_RETIRED.SCALAR_DOUBLE	Hardware Event Count:FP_ARITH_INST_RETIRED.128B_PACKED_DOUBLE	Hardware Event Count:FP_ARITH_INST_RETIRED.256B_PACKED_DOUBLE	Hardware Event Count:UOPS_EXECUTED.X87	Hardware Event Count:UOPS_EXECUTED.THREAD	Module	Function (Full)	Source File	Start Address
[Loop at line 651 in FilterHandler::applyConvolutionGridDivision._omp_fn.0]	283512400000	52948200000	22865000000	53064891994	0	0	0	1719671	0	1695385	0	30666154	0	617335163	28393045	7753257	2316458770	114450034335	7693854	3804885	3888969	124569928188	52544419362	161061856	0	2294313	0	0	376747	13690396983	38297263	58313069363	231171148	40903593967	233774986634	309213717110	23839340711	0	0	0	0	0	0	249335867544	gaussian	[Loop at line 651 in FilterHandler::applyConvolutionGridDivision._omp_fn.0]	FilterHandler.cpp	0x405c60
[Loop at line 650 in FilterHandler::applyConvolutionGridDivision._omp_fn.0]	8908000000	2063800000	911200000	2030292539	0	0	0	0	0	460006	0	320009	0	17438269	0	0	54969965	5250001575	0	0	0	2869092187	1857877691	0	0	0	0	0	547517832	941267846	0	2412844786	0	472191524	9940700032	13619691457	1132223436	0	0	0	0	0	0	10721095267	gaussian	[Loop at line 650 in FilterHandler::applyConvolutionGridDivision._omp_fn.0]	FilterHandler.cpp	0x405c40
[Loop@0xa670 in func@0xa520]	2298400000	1064200000	724200000	1004488188	0	0	0	0	0	0	0	0	0	0	0	0	0	3580001074	7609770	3804885	0	281561490	1073735476	213073252	0	1521972	0	0	149916212	232097985	11414655	3272192672	837072544	305159396	2153561797	6734629104	0	0	0	0	0	0	0	1917659268	libdeflate.so.0	[Loop@0xa670 in func@0xa520]	[Unknown]	0xa670
[Outside any known module]	1159400000	1234200000	659600000	1158082086	0	0	0	1378017	0	0	629008	51007	0	8366439	0	11650167	2300003	1610000483	114380536	95594999	61088740	286139312	1051185030	281876538	3436576	3829190	0	0	178906432	1801995621	19035945	3085492318	1599614499	230371440	1816209759	7822621016	0	0	0	0	0	0	0	1533639967	[Unknown]	[Outside any known module]	[Unknown]	0x0
[Loop@0xb870 in deflate]	639200000	346800000	261800000	471805058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	292976145	401033732	38048795	0	0	0	0	152199200	388098270	15219540	342438768	0	256455652	509853853	2168778864	0	0	0	0	0	0	0	1240390717	libz.so.1.3	[Loop@0xb870 in deflate]	[Unknown]	0xb870
[Loop@0x4df0 in func@0x4db0]	530400000	210800000	115600000	205463493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125561205	232858296	15219518	0	0	0	0	46420756	83707470	7609770	76097504	0	111105416	426146504	1065365056	0	0	0	0	0	0	0	639219756	libz.so.1.3	[Loop@0x4df0 in func@0x4db0]	[Unknown]	0x4df0
[Loop at line 390 in do_lookup_x]	445400000	204000000	149600000	175024457	0	0	0	0	0	0	0	235465	0	0	0	0	0	1300000390	30439080	3804885	3804885	91317240	168175436	0	0	43376202	0	0	23210378	79902585	0	418536272	38048752	159428662	365268432	1103413808	0	0	0	0	0	0	0	555512407	ld-linux-x86-64.so.2	[Loop at line 390 in do_lookup_x]	dl-lookup.c	0xa590
[Loop@0x264e0 in func@0x26460]	370600000	54400000	44200000	106536626	0	0	0	0	0	0	0	0	0	0	0	0	0	220000066	0	0	0	133170975	38809716	0	0	5326902	0	0	24351872	22829310	0	38048752	0	144969738	372878191	456585024	0	0	0	0	0	0	0	357658673	libtiff.so.6.0.1	[Loop@0x264e0 in func@0x26460]	[Unknown]	0x264e0
[Loop@0x4d3e0 in func@0x4d370]	370600000	139400000	112200000	129365903	0	0	0	0	0	0	0	0	0	0	0	0	0	470000141	0	0	0	102731895	142302292	7609759	0	0	0	0	70392130	60878160	0	114146256	76097504	140023264	509853853	760975040	0	0	0	0	0	0	0	479414817	libtiff.so.6.0.1	[Loop@0x4d3e0 in func@0x4d370]	[Unknown]	0x4d3e0
[Loop@0x3b600 in func@0x39a20]	353600000	125800000	68000000	106536626	0	0	0	0	0	0	0	0	0	0	0	0	0	240000072	0	0	0	91317240	142302292	7609759	0	0	0	0	22449382	3804885	0	114146256	0	72294620	327219637	646828784	0	0	0	0	0	0	0	342439155	libopencv_imgcodecs.so.4.6.0	[Loop@0x3b600 in func@0x39a20]	[Unknown]	0x3b600
