Function	Hardware Event Count:INST_RETIRED.ANY	Hardware Event Count:CPU_CLK_UNHALTED.THREAD	Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:LD_HEAD.ANY_AT_RET	Hardware Event Count:LD_HEAD.L1_BOUND_AT_RET	Hardware Event Count:LD_HEAD.L1_MISS_AT_RET	Hardware Event Count:MEM_BOUND_STALLS.LOAD	Hardware Event Count:MEM_BOUND_STALLS.LOAD_DRAM_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_L2_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_LLC_HIT	Hardware Event Count:MEM_SCHEDULER_BLOCK.ALL	Hardware Event Count:MEM_SCHEDULER_BLOCK.ST_BUF	Hardware Event Count:TOPDOWN_BE_BOUND.ALL	Hardware Event Count:TOPDOWN_BE_BOUND.MEM_SCHEDULER	Hardware Event Count:TOPDOWN_FE_BOUND.ALL	Hardware Event Count:TOPDOWN_RETIRING.ALL	Hardware Event Count:TOPDOWN.SLOTS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L1D_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L2_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L3_MISS	Hardware Event Count:MEM_LOAD_RETIRED.L1_HIT	Hardware Event Count:CPU_CLK_UNHALTED.DISTRIBUTED	Hardware Event Count:EXE_ACTIVITY.BOUND_ON_LOADS	Hardware Event Count:FRONTEND_RETIRED.LATENCY_GE_4	Hardware Event Count:MEM_LOAD_RETIRED.L2_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_MISS	Hardware Event Count:MEM_INST_RETIRED.ALL_STORES	Hardware Event Count:IDQ_BUBBLES.CORE	Hardware Event Count:INT_MISC.UOP_DROPPING	Hardware Event Count:TOPDOWN.BACKEND_BOUND_SLOTS	Hardware Event Count:TOPDOWN.MEMORY_BOUND_SLOTS	Hardware Event Count:MEM_INST_RETIRED.ALL_LOADS	Hardware Event Count:UOPS_RETIRED.SLOTS	Hardware Event Count:TOPDOWN.SLOTS_P	Hardware Event Count:FP_ARITH_INST_RETIRED.SCALAR_SINGLE	Hardware Event Count:FP_ARITH_INST_RETIRED.128B_PACKED_SINGLE	Hardware Event Count:FP_ARITH_INST_RETIRED.256B_PACKED_SINGLE	Hardware Event Count:FP_ARITH_INST_RETIRED.SCALAR_DOUBLE	Hardware Event Count:FP_ARITH_INST_RETIRED.128B_PACKED_DOUBLE	Hardware Event Count:FP_ARITH_INST_RETIRED.256B_PACKED_DOUBLE	Hardware Event Count:UOPS_EXECUTED.X87	Hardware Event Count:UOPS_EXECUTED.THREAD	Module	Function (Full)	Source File	Start Address
[Loop at line 651 in FilterHandler::applyConvolutionGridDivision._omp_fn.0]	26210600000	4729400000	3189200000	4705783895	0	0	0	0	0	0	0	0	0	0	0	0	0	15230004569	3816986	7614421	0	11045040252	4737812081	38091604	0	0	0	0	0	1877218715	7614421	3883735795	38169765	5093473234	21152128515	27676101030	1986989662	0	0	0	0	0	0	21754742277	mean	[Loop at line 651 in FilterHandler::applyConvolutionGridDivision._omp_fn.0]	FilterHandler.cpp	0x405c60
[Loop at line 650 in FilterHandler::applyConvolutionGridDivision._omp_fn.0]	2798200000	697000000	363800000	700799487	0	0	0	0	0	0	0	0	0	0	0	0	0	2130000639	0	0	0	879670911	582667720	0	0	0	0	0	173613108	53359600	0	684709590	0	183878169	2733632024	3732229825	281987358	0	0	0	0	0	0	3746289966	mean	[Loop at line 650 in FilterHandler::applyConvolutionGridDivision._omp_fn.0]	FilterHandler.cpp	0x405c40
[Loop@0xa670 in func@0xa520]	2274600000	1071000000	724200000	1101254555	0	0	0	0	0	0	0	0	0	0	0	0	0	4320001296	7594870	3797435	0	265820450	1007076798	182276616	0	759496	0	0	143926387	246833275	15189740	2961991500	607588000	291270551	2080991366	6721442250	0	0	0	0	0	0	0	1989853058	libdeflate.so.0	[Loop@0xa670 in func@0xa520]	[Unknown]	0xa670
[Outside any known module]	907800000	605200000	397800000	524240786	0	0	0	0	0	0	0	300045	240036	3000009	0	0	0	2270000681	53242294	38013452	26601596	163328807	555183363	68353731	0	3037984	0	0	133698471	767394686	3816986	1481191265	1215371515	218091612	1140050013	4294609520	0	0	0	0	0	0	0	980557974	[Unknown]	[Outside any known module]	[Unknown]	0x0
[Loop@0xb870 in deflate]	812600000	363800000	268600000	372148091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	318984540	348603507	30379436	759536	0	0	0	178483910	315187105	15189740	455691000	0	323549556	744296182	2164532250	0	0	0	0	0	0	0	1420238633	libz.so.1.3	[Loop@0xb870 in deflate]	[Unknown]	0xb870
[Loop@0x4df0 in func@0x4db0]	591600000	221000000	132600000	212656052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167087140	296958543	22784577	0	0	0	0	53165420	132910225	7594870	75948500	37974250	140888363	584804143	1556944250	0	0	0	0	0	0	0	782270477	libz.so.1.3	[Loop@0x4df0 in func@0x4db0]	[Unknown]	0x4df0
[Loop at line 390 in do_lookup_x]	435200000	180200000	142800000	220250911	0	0	0	0	0	0	0	0	0	0	0	0	0	1230000369	11392305	3797435	7594870	110125615	142023651	30379436	379768	41012784	0	0	26582710	91138440	0	455691000	0	157597495	387337809	1101253250	0	0	0	0	0	0	0	531640130	ld-linux-x86-64.so.2	[Loop at line 390 in do_lookup_x]	dl-lookup.c	0xa590
[Loop@0x264e0 in func@0x26460]	397800000	54400000	37400000	60758872	0	0	0	0	0	0	0	0	0	0	0	0	0	240000072	0	0	0	113923050	51644964	0	0	6075968	0	0	23164933	22784610	0	0	0	142787128	334173796	493665250	0	0	0	0	0	0	0	349363514	libtiff.so.6.0.1	[Loop@0x264e0 in func@0x26460]	[Unknown]	0x264e0
[Loop@0x3b600 in func@0x39a20]	329800000	64600000	64600000	68353731	0	0	0	0	0	0	0	0	0	0	0	0	0	280000084	0	0	0	91138440	103289928	0	0	0	0	0	24683945	11392305	0	151897000	0	72912576	303794360	303794000	0	0	0	0	0	0	0	326578937	libopencv_imgcodecs.so.4.6.0	[Loop@0x3b600 in func@0x39a20]	[Unknown]	0x3b600
[Loop@0x4d3e0 in func@0x4d370]	316200000	159800000	112200000	159492039	0	0	0	0	0	0	0	0	0	0	0	0	0	680000204	0	0	0	98733310	193668615	37974295	0	0	0	0	69115046	87341005	0	341768250	0	126077996	501260694	911382000	0	0	0	0	0	0	0	524045271	libtiff.so.6.0.1	[Loop@0x4d3e0 in func@0x4d370]	[Unknown]	0x4d3e0
